Trial,ming_resisitor_470,cam resistor,1a V Ming,1a V Cameron,1b I ming,1b I Cameron,2a ming voltages,2a ming v std,2a ming current,2a cam v,2a cam v std,2a cam gain mV,2a cam gain std,2b ming voltage,2b ming v std,2b ming current,2b ming i std (mV),2b cam v,2b cam v std,2b cam gain mV,2b cam gain std,3 ming voltage,3 ming voltage std,3 ming mV1,3 ming mV std,3 ming mV2,3 ming mV2 std,3 ming mV3,3 ming mV3 std
1,472.4,467.6,2.024,2.001,0.2,0.2,0,0.01,0.001,0,0,0.048,0.00052,0,0,0.00114,0.00024,0,0.000047,0.047,0.00027,2.236,0.0036,0.202,0.0019,0.244,0.00053,0.461,0.00093
2,472.2,467.4,2.024,2.001,0.2,0.2,0.629,0.01,0.062,0.3076,0.0018,0.077,0.00043,0.6311,0.0021,0.00127,0.00022,0.3085,0.0018,0.047,0.00038,,,,,,,,
3,471.8,467.5,2.024,2.001,0.2,0.2,0.9499,0.01,0.092,0.6284,0.0022,0.108,0.00032,0.9534,0.0023,0.00198,0.00028,0.6309,0.0021,0.047,0.00042,,,,,,,,
4,471.9,467.4,,,,,1.153,0.01,0.112,0.9501,0.0025,0.139,0.00029,1.1596,0.0025,0.00255,0.00019,0.9535,0.0025,0.048,0.00036,,,,,,,,
5,472,467.5,,,,,1.47,0.01,0.143,1.1555,0.0029,0.157,0.00033,1.482,0.0034,0.00216,0.0002,1.1597,0.003,0.048,0.0005,,,,,,,,
,,,,,,,1.784,0.01,0.172,1.4767,0.0036,0.188,0.00032,1.7909,0.0046,0.00252,0.00021,1.4819,0.004,0.048,0.00036,,,,,,,,
,,,,,,,2.1057,0.01,0.203,1.7851,0.0044,0.217,0.00042,2.1127,0.0045,0.01942,0.00027,,,,,,,,,,,,
,,,,,,,2.4264,0.01,0.234,2.106,0.0052,0.248,0.00039,2.428,0.0045,0.211,0.00021,,,,,,,,,,,,
,,,,,,,2.6321,0.01,0.253,2.4271,0.0057,0.28,0.0003,2.6281,0.0054,0.37175,0.00026,,,,,,,,,,,,
,,,,,,,2.9543,0.01,0.283,2.6327,0.0063,0.299,0.00039,2.9412,0.0057,0.63478,0.00028,,,,,,,,,,,,
,,,,,,,3.2735,0.01,0.313,2.9545,0.007,0.329,0.00059,3.2273,0.0068,0.88257,0.00026,,,,,,,,,,,,
,,,,,,,,,,3.2752,0.0073,0.358,0.00028,,,,,,,,,,,,,,,,
