,diameter_disk,diameter_holder,0_disk,1_disk,3_disk,5_disk,7_disk,9_disk
1,3.19,3.19,11.38,13.91,17.87,20.95,23.98,26.7
2,3.18,3.19,11.27,14.16,17.9,20.98,23.83,26.26
3,3.19,3.19,11.26,13.9,17.58,21.12,23.82,26.52
4,3.195,3.19,11.36,13.9,17.88,21.05,23.91,26.53
5,3.19,3.185,11.29,14.03,17.63,20.95,23.73,26.55
6,3.185,3.18,11.36,13.83,17.69,20.96,23.95,26.55
7,3.185,3.185,11.43,13.83,17.92,20.98,23.89,26.52
8,3.185,3.18,11.45,13.92,17.77,20.95,23.83,26.5
9,3.185,3.185,11.35,13.85,17.88,21.1,23.79,26.56
10,3.185,3.185,11.27,13.92,17.7,20.95,23.73,26.56
