1a t,1a V,1c t,1c V,2a t,2a V,2b t,2b V
0,9.8,0,0.36,0.000172,0.1823,0.0208,3.86
0.028,9.32,0.112,0.396,0.000812,0.1025,0.0768,3.46
0.068,8.68,0.192,0.416,0.00147,0.05748,0.133,3.18
0.168,7.4,0.332,0.436,0.00211,0.03327,0.189,2.9
0.208,6.92,0.632,0.484,0.00277,0.01948,0.277,2.5
0.328,5.72,1.23,0.532,0.00341,0.01155,0.389,2.1
0.508,4.36,2.05,0.584,0.00407,0.007434,0.541,1.66
0.868,2.68,2.85,0.612,0.00473,0.004547,0.757,1.18
1.29,1.56,3.39,0.64,,,0.997,0.86
1.85,0.76,4.13,0.664,,,1.22,0.62
3.09,0.28,4.81,0.68,,,1.73,0.34
4.13,0.2,5.03,0.688,,,2.14,0.22
4.97,0.2,,,,,2.46,0.14
